product_id,sku,price
2670,W0550.Z3.DIW.04,23087.72
2671,W0551.Z3.DIW.01,7367.08
2672,W0551.Z3.DIW.02,9269.28
2673,W0551.Z3.DIW.03,15665.28
2674,W0551.Z3.DIW.04,24365.07
2678,W0553.Z3.DIW.01,6250.86
2679,W0553.Z3.DIW.02,8423.04
2680,W0553.Z3.DIW.03,13028.16
2681,W0554.Z3.DIW.01,1958.77
2682,W0562.Z3.DIW.01,4343.13
2683,W0563.Z3.DIW.01,6839.41
2684,W0563.Z3.DIW.02,8796.96
2685,W0563.Z3.DIW.03,13894.08
2686,W0563.Z3.DIW.04,23469.01
2687,W0567.Z3.DIW.01,1808.10
2688,W0568.Z3.DIW.01,3632.80
2689,W0570.Z3.DIW.01,3199.23
2690,W0571.Z3.DIW.01,3073.77
2691,W0580.Z3.DIW.01,1958.77
2692,W0542.Z3.DIW.01,6717.64
2693,W0543.Z3.DIW.03,13343.04
2694,W0545.Z3.DIW.02,10036.80
2695,W0546.Z3.DIW.04,23469.01
2696,W0548.Z3.DIW.03,15576.11
2697,W0550.Z3.DIW.02,9426.72
2699,W0553.Z3.DIW.04,22058.21
2700,W0561.Z3.DIW.01,1765.05
2701,W0565.Z3.DIW.01,3324.69
2796,W0001.B3.DIW.01,1958.77
2797,W0001.B3.DIW.02,2592.84
2798,W0004.B3.DIW.01,4444.60
2799,W0007.B3.DIW.01,2634.66
2801,W0009.B3.DIW.01,5418.76
2805,W0016.B3.DIW.01,4464.90
2808,W0021.B3.DIW.01,2049.18
2809,W0022.B3.DIW.01,2362.83
2810,W0023.B3.DIW.01,11197.92
2811,W0023.B3.DIW.02,15557.04
2813,W0027.B3.DIW.01,2279.19
2818,W0034.B3.DIW.01,2676.48
2819,W0036.B3.DIW.01,2049.18
2820,W0036.B3.DIW.03,4383.72
2822,W0042.B3.DIW.01,2530.11
2825,W0045.B3.DIW.01,1980.30
2826,W0047.B3.DIW.01,2509.20
2827,W0047.B3.DIW.03,4769.32
2829,W0051.B3.DIW.01,1980.30
2830,W0052.B3.DIW.01,4647.55
